"page_type","source_sheet","source_row","entity_type","region","district","city","dong_eup_myeon","school_name","school_unique_name","subject","grade","slug","url","parent_url","hub_url","canonical","click_depth"
"school_content","","","school","경기","","","","함현고등학교","함현고등학교","","","과외","/school/410041541-함현고등학교/과외/","","","https://studyway.kr/school/410041541-함현고등학교/과외/","4"
"school_content","","","school","경기","","","","계원예술고등학교","계원예술고등학교","","","과외","/school/410044615-계원예술고등학교/과외/","","","https://studyway.kr/school/410044615-계원예술고등학교/과외/","4"
"school_content","","","school","경기","","","","늘푸른고등학교","늘푸른고등학교","","","과외","/school/410041197-늘푸른고등학교/과외/","","","https://studyway.kr/school/410041197-늘푸른고등학교/과외/","4"
"school_content","","","school","경기","","","","분당중앙고등학교","분당중앙고등학교","","","과외","/school/410041296-분당중앙고등학교/과외/","","","https://studyway.kr/school/410041296-분당중앙고등학교/과외/","4"
"school_content","","","school","경기","","","","한솔고등학교","한솔고등학교","","","과외","/school/410041543-한솔고등학교/과외/","","","https://studyway.kr/school/410041543-한솔고등학교/과외/","4"
"school_content","","","school","경기","","","","목감고등학교","목감고등학교","","","과외","/school/410041318-목감고등학교/과외/","","","https://studyway.kr/school/410041318-목감고등학교/과외/","4"
"school_content","","","school","서울","","","","서울대학교사범대학부설고등학교","서울대학교사범대학부설고등학교","","","과외","/school/110041020-서울대학교사범대학부설고등학교/과외/","","","https://studyway.kr/school/110041020-서울대학교사범대학부설고등학교/과외/","4"
"school_content","","","school","서울","","","","대진여자고등학교","대진여자고등학교","","","과외","/school/110041775-대진여자고등학교/과외/","","","https://studyway.kr/school/110041775-대진여자고등학교/과외/","4"
"school_content","","","school","서울","","","","불암고등학교","불암고등학교","","","과외","/school/110041235-불암고등학교/과외/","","","https://studyway.kr/school/110041235-불암고등학교/과외/","4"
"school_content","","","school","서울","","","","상명고등학교","상명고등학교","","","과외","/school/110041797-상명고등학교/과외/","","","https://studyway.kr/school/110041797-상명고등학교/과외/","4"
"school_content","","","school","서울","","","","영신여자고등학교","영신여자고등학교","","","과외","/school/110041823-영신여자고등학교/과외/","","","https://studyway.kr/school/110041823-영신여자고등학교/과외/","4"
"school_content","","","school","서울","","","","재현고등학교","재현고등학교","","","과외","/school/110041727-재현고등학교/과외/","","","https://studyway.kr/school/110041727-재현고등학교/과외/","4"
"school_content","","","school","서울","","","","대원고등학교","대원고등학교","","","과외","/school/110041633-대원고등학교/과외/","","","https://studyway.kr/school/110041633-대원고등학교/과외/","4"
"school_content","","","school","서울","","","","대원여자고등학교","대원여자고등학교","","","과외","/school/110041774-대원여자고등학교/과외/","","","https://studyway.kr/school/110041774-대원여자고등학교/과외/","4"
"school_content","","","school","서울","","","","대원외국어고등학교","대원외국어고등학교","","","과외","/school/110045635-대원외국어고등학교/과외/","","","https://studyway.kr/school/110045635-대원외국어고등학교/과외/","4"
"school_content","","","school","경기","","","","동광고등학교","동광고등학교","","","과외","/school/410041730-동광고등학교/과외/","","","https://studyway.kr/school/410041730-동광고등학교/과외/","4"
"school_content","","","school","경기","","","","성남고등학교","성남고등학교","","","과외","/school/410041340-성남고등학교/과외/","","","https://studyway.kr/school/410041340-성남고등학교/과외/","4"
"school_content","","","school","경기","","","","성남여자고등학교","성남여자고등학교","","","과외","/school/410041348-성남여자고등학교/과외/","","","https://studyway.kr/school/410041348-성남여자고등학교/과외/","4"
"school_content","","","school","경기","","","","성일고등학교","성일고등학교","","","과외","/school/410041725-성일고등학교/과외/","","","https://studyway.kr/school/410041725-성일고등학교/과외/","4"
"school_content","","","school","서울","","","","중화고등학교","중화고등학교","","","과외","/school/110041187-중화고등학교/과외/","","","https://studyway.kr/school/110041187-중화고등학교/과외/","4"
"school_content","","","school","경기","","","","이천고등학교","이천고등학교","","","과외","/school/410041460-이천고등학교/과외/","","","https://studyway.kr/school/410041460-이천고등학교/과외/","4"
"school_content","","","school","경기","","","","동두천외국어고등학교","동두천외국어고등학교","","","과외","/school/410045238-동두천외국어고등학교/과외/","","","https://studyway.kr/school/410045238-동두천외국어고등학교/과외/","4"
"school_content","","","school","경기","","","","동두천중앙고등학교","동두천중앙고등학교","","","과외","/school/410058239-동두천중앙고등학교/과외/","","","https://studyway.kr/school/410058239-동두천중앙고등학교/과외/","4"
"school_content","","","school","서울","","","","신도고등학교","신도고등학교","","","과외","/school/110041264-신도고등학교/과외/","","","https://studyway.kr/school/110041264-신도고등학교/과외/","4"
"school_content","","","school","서울","","","","진관고등학교","진관고등학교","","","과외","/school/110041253-진관고등학교/과외/","","","https://studyway.kr/school/110041253-진관고등학교/과외/","4"
"school_content","","","school","서울","","","","하나고등학교","하나고등학교","","","과외","/school/110041870-하나고등학교/과외/","","","https://studyway.kr/school/110041870-하나고등학교/과외/","4"
"school_content","","","school","경기","","","","진접고등학교","진접고등학교","","","과외","/school/410041967-진접고등학교/과외/","","","https://studyway.kr/school/410041967-진접고등학교/과외/","4"
"school_content","","","school","경기","","","","위례한빛고등학교","위례한빛고등학교","","","과외","/school/410041015-위례한빛고등학교/과외/","","","https://studyway.kr/school/410041015-위례한빛고등학교/과외/","4"
"school_content","","","school","서울","","","","서울외국어고등학교","서울외국어고등학교","","","과외","/school/110045683-서울외국어고등학교/과외/","","","https://studyway.kr/school/110045683-서울외국어고등학교/과외/","4"
"school_content","","","school","서울","","","","자운고등학교","자운고등학교","","","과외","/school/110041223-자운고등학교/과외/","","","https://studyway.kr/school/110041223-자운고등학교/과외/","4"
"school_content","","","school","서울","","","","창동고등학교","창동고등학교","","","과외","/school/110041188-창동고등학교/과외/","","","https://studyway.kr/school/110041188-창동고등학교/과외/","4"
"school_content","","","school","경기","","","","고림고등학교","고림고등학교","","","과외","/school/410041930-고림고등학교/과외/","","","https://studyway.kr/school/410041930-고림고등학교/과외/","4"
"school_content","","","school","경기","","","","백암고등학교","백암고등학교","","","과외","/school/410058289-백암고등학교/과외/","","","https://studyway.kr/school/410058289-백암고등학교/과외/","4"
"school_content","","","school","경기","","","","용인삼계고등학교","용인삼계고등학교","","","과외","/school/410041988-용인삼계고등학교/과외/","","","https://studyway.kr/school/410041988-용인삼계고등학교/과외/","4"
"school_content","","","school","경기","","","","용인한국외국어대학교부설고등학교","용인한국외국어대학교부설고등학교","","","과외","/school/410041911-용인한국외국어대학교부설고등학교/과외/","","","https://studyway.kr/school/410041911-용인한국외국어대학교부설고등학교/과외/","4"
"school_content","","","school","경기","","","","처인고등학교","처인고등학교","","","과외","/school/410041439-처인고등학교/과외/","","","https://studyway.kr/school/410041439-처인고등학교/과외/","4"
"school_content","","","school","경기","","","","태성고등학교","태성고등학교","","","과외","/school/410041915-태성고등학교/과외/","","","https://studyway.kr/school/410041915-태성고등학교/과외/","4"
"school_content","","","school","경기","","","","포곡고등학교","포곡고등학교","","","과외","/school/410041538-포곡고등학교/과외/","","","https://studyway.kr/school/410041538-포곡고등학교/과외/","4"
"school_content","","","school","경기","","","","경기체육고등학교","경기체육고등학교","","","과외","/school/410042120-경기체육고등학교/과외/","","","https://studyway.kr/school/410042120-경기체육고등학교/과외/","4"
"school_content","","","school","경기","","","","영생고등학교","영생고등학교","","","과외","/school/410041855-영생고등학교/과외/","","","https://studyway.kr/school/410041855-영생고등학교/과외/","4"
"school_content","","","school","경기","","","","천천고등학교","천천고등학교","","","과외","/school/410041503-천천고등학교/과외/","","","https://studyway.kr/school/410041503-천천고등학교/과외/","4"
"school_content","","","school","서울","","","","성덕고등학교","성덕고등학교","","","과외","/school/110041662-성덕고등학교/과외/","","","https://studyway.kr/school/110041662-성덕고등학교/과외/","4"
"school_content","","","school","경기","","","","광명고등학교","광명고등학교","","","과외","/school/410041148-광명고등학교/과외/","","","https://studyway.kr/school/410041148-광명고등학교/과외/","4"
"school_content","","","school","경기","","","","광명북고등학교","광명북고등학교","","","과외","/school/410041156-광명북고등학교/과외/","","","https://studyway.kr/school/410041156-광명북고등학교/과외/","4"
"school_content","","","school","경기","","","","동탄중앙고등학교","동탄중앙고등학교","","","과외","/school/410041985-동탄중앙고등학교/과외/","","","https://studyway.kr/school/410041985-동탄중앙고등학교/과외/","4"
"school_content","","","school","경기","","","","청덕고등학교","청덕고등학교","","","과외","/school/410041506-청덕고등학교/과외/","","","https://studyway.kr/school/410041506-청덕고등학교/과외/","4"
